epoch,acc,accuracy_with_threshold,loss,val_acc,val_accuracy_with_threshold,val_loss
0,0.5004118616144976,0.5004118616144976,7.925812219277245,0.500000000220758,0.500000000220758,7.971192797908077
1,0.4999999999509023,0.4999999999509023,7.97119332145427,0.5000000001103789,0.5000000001103789,7.971192713137026
2,0.49999999990180455,0.49999999990180455,7.971196725301727,0.5,0.5,7.971192699008518
3,0.49999999990180455,0.49999999990180455,7.971192846188239,0.5000000013245477,0.5000000013245477,7.971192875614872
4,0.5,0.5,7.971192921602353,0.5,0.5,7.971192812036585
5,0.5000000000490977,0.5000000000490977,7.9711928469738025,0.5000000001103789,0.5000000001103789,7.97119276965106
6,0.5768121911037891,0.5731054364751159,1.1626206816126528,0.5074074074074074,0.5,3.058516354031033
7,0.6239703459637562,0.6243822076273514,0.6460710149227689,0.7074074082904391,0.7370370361540053,0.5842500646909078
8,0.767504118616145,0.7685337725541933,0.49056065205294375,0.5814814828060292,0.6518518531763995,0.6377951811861109
9,0.8097199342003372,0.8025123557502395,0.42863978364518684,0.6074074087319551,0.6592592588177434,0.8488138441686277
10,0.8381383854042757,0.8354612851064327,0.3753111562776016,0.5000000004415159,0.5000000004415159,2.140265030331082
11,0.8469934103123635,0.8426688633601395,0.36480884862790586,0.8444444435614127,0.8629629634044789,0.3844776961538527
12,0.8455518945634267,0.8457578253706755,0.3555707333999175,0.848148148589664,0.8444444431198967,0.36567871416056597
13,0.8527594729153289,0.8504942340355925,0.3547988146101623,0.8518518522933677,0.8407407398577089,0.38348890962424104
14,0.8618204282378836,0.8593492585508985,0.3222686236438877,0.7629629620799312,0.7444444448859603,0.49432237302815474
15,0.8721169686003218,0.8686161450734837,0.3122889469738258,0.8666666657836349,0.8703703694873386,0.3288439159040098
16,0.8747940692909467,0.8756177925199418,0.2996210150997564,0.5592592583762275,0.6296296287465979,0.9793824836059853
17,0.8768533772652389,0.8731466227347611,0.29052536511146254,0.6,0.6555555551140396,0.8897431625260247
18,0.8785008236250336,0.8778830312032873,0.2967905695051495,0.8518518522933677,0.8629629634044789,0.34859578167950667
19,0.8898270180237156,0.8852965402642428,0.2752237976996667,0.8703703690458227,0.8629629616384153,0.34161283285529526
20,0.8887973640856672,0.8887973639874718,0.27446112485949253,0.5333333328918174,0.5592592588177434,1.3218400716781615
21,0.9032125204948853,0.903418451498525,0.23239207481336357,0.7999999991169682,0.8259259263674418,0.4727107434361069
22,0.9060955518945635,0.9036243822075782,0.23301641350915836,0.5999999995584842,0.6296296291881137,1.1732830065268058
23,0.9170098845805524,0.916598022966055,0.21128187040127874,0.5148148150355728,0.5185185187392765,2.1147668626573353
24,0.9083607907742999,0.9085667215815486,0.21999710511041826,0.911111111552627,0.9037037041452196,0.21005499771347752
25,0.9240115322234014,0.9271004943321328,0.19114480743298223,0.6888888902134366,0.6851851865097328,0.9888014519656146
26,0.9209225701146699,0.9196869851729819,0.1993886486947831,0.837037037478553,0.8666666671081825,0.35750612219174704
27,0.9312191103789127,0.9271004941357419,0.17949905915452777,0.9074074065243757,0.8962962954132645,0.2655359961368419
28,0.928747940790123,0.9268945633284932,0.17871893733690755,0.8814814819229974,0.9037037041452196,0.2633649051189423
29,0.9320428337061032,0.9363673806583273,0.16705851827608498,0.8037037028206719,0.7814814805984497,0.4664216783311632
30,0.9322487645133519,0.9266886327176354,0.17394703227713632,0.937037037037037,0.9444444444444444,0.18992598432081717
31,0.9411037892250489,0.9386326195380637,0.1529025686582584,0.8555555542310079,0.8444444431198967,0.4265553566040816
32,0.9367792420764338,0.9386326194398682,0.15926402497920017,0.7074074087319551,0.72592592548441,0.9308863277788515
33,0.9338962108731467,0.9349258650075859,0.16862576900439757,0.8555555555555555,0.8333333320087857,0.39454488975030405
