epoch,acc,accuracy_with_threshold,loss,val_acc,val_accuracy_with_threshold,val_loss
0,0.8667627678082449,0.8628500824705183,0.43349656720432456,0.9074074078489233,0.8814814819229974,0.26695545426121464
1,0.9192751235584844,0.9194810543657331,0.24152885580088643,0.8962962949717487,0.8777777782192937,0.25764242388583997
2,0.9345140032948929,0.9351317956184437,0.19981123178374924,0.8555555564385874,0.8407407402992249,0.41429458282611986
3,0.9448105437555266,0.9448105437555266,0.17510373709658913,0.9407407411822566,0.9296296300711455,0.15876380823276662
4,0.9404859967051071,0.9408978583196046,0.17373175488223355,0.9518518505273041,0.9592592592592593,0.157431723177433
5,0.9530477760454772,0.9530477760454772,0.1450230182874242,0.9592592579347116,0.9629629616384153,0.1321565073121477
6,0.9544892914998276,0.9546952223070764,0.14037443540339808,0.9518518505273041,0.9592592579347116,0.12289489595978348
7,0.9596375616810467,0.9588138384520517,0.11487998598741592,0.8740740745155899,0.8925925930341084,0.3876535669521049
8,0.9584019768375541,0.9586079076448029,0.11801865989920765,0.9666666666666667,0.9592592592592593,0.07965233767474139
9,0.9588138385502472,0.9604612850082372,0.11493022965429937,0.9703703703703703,0.9666666666666667,0.06274073685139969
10,0.9639621086332708,0.9643739702477683,0.10021893662297746,0.9740740740740741,0.9740740740740741,0.07082347116536564
11,0.9664332785166468,0.9674629325528907,0.09166614161888705,0.8925925912680449,0.8777777764532301,0.3411465648147795
12,0.9637561779242174,0.9625205930807249,0.10429532638991856,0.9666666666666667,0.9703703703703703,0.08065660297525702
13,0.9658154859967051,0.9666392092257001,0.09313860955637385,0.9259259246013782,0.9148148134902672,0.25230111998540383
14,0.9668451399347535,0.9666392091275047,0.09498517826250163,0.9592592579347116,0.9555555542310079,0.09425215530726645
15,0.9721993409232214,0.9705518944652313,0.07929630666400446,0.9629629629629629,0.9703703703703703,0.06763678231983687
16,0.9736408566721582,0.9734349258649094,0.08000861232965276,0.9666666666666667,0.9740740740740741,0.06931783432287543
17,0.9759060955518946,0.9746705107084019,0.06977633327664577,0.9444444444444444,0.9444444444444444,0.09252110630342805
18,0.9732289950576606,0.9742586490939045,0.06799672916301418,0.9629629620799312,0.9629629620799312,0.1036925000724969
19,0.9777594728171335,0.9785831960461285,0.06281710046963364,0.9555555559970714,0.9370370361540052,0.13468491777225777
20,0.9773476112026359,0.9769357495881383,0.06143316898724721,0.9370370361540052,0.9296296287465978,0.24014901629200688
21,0.9761120263591433,0.9759060955518946,0.06624279623665913,0.9481481468236005,0.9518518505273041,0.19937056865957048
22,0.9763179571663921,0.9757001647446458,0.06785361239677211,0.9777777764532302,0.9777777764532302,0.04900677954709089
23,0.9833196046128501,0.9829077429983526,0.052523744292413396,0.9629629629629629,0.9666666666666667,0.08598853989942991
24,0.9792009883696793,0.9796128499841769,0.05753516143704174,0.9740740740740741,0.9740740740740741,0.09192712074835543
25,0.9775535420098846,0.9767298187808896,0.06410880410649447,0.948148148589664,0.948148148589664,0.16305313482880593
26,0.9804365734095628,0.9800247117950653,0.05830614135129883,0.9666666671081826,0.9592592597007752,0.11644671915305985
27,0.984761120165396,0.9839373969364009,0.04501520511086284,0.9703703690458227,0.9703703690458227,0.06789650082312249
28,0.9827018121911038,0.9829077429983526,0.052179582920263,0.9703703703703703,0.9777777777777777,0.056748685708131505
29,0.9827018121911038,0.9822899505766063,0.0549827618211578,0.9555555555555556,0.9592592592592593,0.1767788799893525
30,0.9849670509726447,0.9853789125871423,0.04328842043503956,0.9555555555555556,0.9592592592592593,0.20935612276748375
31,0.9845551894563427,0.9847611202635914,0.04303091660673581,0.9777777777777777,0.9777777777777777,0.08858938610903384
32,0.9796128500823723,0.9783772652388797,0.060956671243620565,0.9851851851851852,0.9851851851851852,0.02884930541377731
33,0.986408566623386,0.9851729817798935,0.04073718898933779,0.9777777764532302,0.9740740727495264,0.05296333079329795
34,0.9894975288303131,0.9901153212520593,0.03311618775701518,0.9703703690458227,0.9740740727495264,0.09424178310566478
35,0.9880560131795717,0.988673805601318,0.03303489067848939,0.9629629629629629,0.9666666666666667,0.09632441651903921
36,0.9874382207578254,0.9880560131795717,0.031216616340501296,0.9740740740740741,0.9740740740740741,0.08599645902437192
37,0.9899093904448105,0.9911449752883031,0.028896889204639606,0.9666666666666667,0.9703703703703703,0.11185329894328283
38,0.9901153211538638,0.9894975287321176,0.026170090753823875,0.9851851851851852,0.9777777777777777,0.03599234463310697
39,0.9907331135756101,0.9899093903466151,0.026311764522547618,0.940740739857709,0.9444444435614127,0.2564371111768263
40,0.9876441515650741,0.9868204283360791,0.03503119480037295,0.9703703690458227,0.9703703690458227,0.09183804481462748
41,0.9919686985172982,0.9909390444810544,0.023207373840255757,0.9666666666666667,0.9666666666666667,0.12082035028272205
42,0.9903212520593081,0.9903212520593081,0.028354785829664855,0.9740740740740741,0.9740740740740741,0.11913444115107731
43,0.9892915980230642,0.9888797364085667,0.031077664809224536,0.9740740740740741,0.9777777777777777,0.04759630641476044
44,0.9874382206596299,0.9872322900487721,0.04029626029186517,0.9740740740740741,0.9740740740740741,0.0698215217674496
45,0.9905271828665568,0.9911449752883031,0.029812164896712037,0.9629629629629629,0.9555555555555556,0.17747580093090182
46,0.9921746293245469,0.9919686985172982,0.026960306271923588,0.9851851851851852,0.9777777777777777,0.06510062698593914
47,0.992998352553542,0.9923805601317958,0.018900481309724854,0.9666666666666667,0.9629629629629629,0.20289529147299212
48,0.9942339373970346,0.9944398682042833,0.017658312469339483,0.9629629629629629,0.9629629629629629,0.1855606946611294
49,0.9923805601317958,0.9925864909390445,0.022046007670136716,0.9814814814814815,0.9814814814814815,0.09864433786469565
50,0.9921746293245469,0.9925864909390445,0.024913508182138007,0.9777777777777777,0.9777777777777777,0.08822058582838121
51,0.9905271828665568,0.9899093904448105,0.02826992994745527,0.9703703703703703,0.9666666666666667,0.15216606533916396
52,0.9911449752883031,0.9907331136738056,0.026178463163109296,0.9777777777777777,0.9777777777777777,0.060217607908715665
